"","k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","phat.mn","phatBias.mn","Cover.mn","Porig.mn","Reject.mn","I2.mn","k.pretty","muN.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty","N.tot","N.tot.pretty"
"44",5,0.25,300,"pm",0,200,"unif2",1024,0.0693359375,0.0193359375,1,0.431372576574284,0.0615234375,92.1186360595674,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",1500,"N =  1500"
"45",5,0.25,300,"reml",0,200,"expo",1024,0.0515625,0.0015625,1,0.475333964082079,0.1142578125,86.0371327978772,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",1500,"N =  1500"
"46",5,0.25,300,"reml",0,200,"normal",2048,0.075,-3.20599323557793e-18,1,0.458616296891253,0.1240234375,90.2084079669909,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",1500,"N =  1500"
"47",5,0.25,300,"reml",0,200,"t.scaled",1024,0.05390625,0.00390625,1,0.486196901877213,0.1328125,93.7568086234164,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",1500,"N =  1500"
"48",5,0.25,300,"reml",0,200,"unif2",1024,0.0693359375,0.0193359375,1,0.431312290942017,0.0615234375,92.1147329369118,"No. replications: 5","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",1500,"N =  1500"
"49",10,0.002,50,"pm",0,200,"expo",1024,0.29921875,0.24921875,1,0.603436206179655,0.013671875,24.91722324084,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",500,"N =  500"
"50",10,0.002,50,"pm",0,200,"normal",2048,0.339208984375,0.264208984375,0.996610169491525,0.610037462888275,0.017578125,24.8852477267317,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",500,"N =  500"
"51",10,0.002,50,"pm",0,200,"t.scaled",1024,0.2625,0.2125,0.998796630565584,0.594044896852305,0.01953125,27.0049936711342,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",500,"N =  500"
"52",10,0.002,50,"pm",0,200,"unif2",1024,0.34609375,0.29609375,0.997762863534676,0.604587059400038,0.013671875,25.1190952260766,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",500,"N =  500"
"53",10,0.002,50,"reml",0,200,"expo",1024,0.29921875,0.24921875,1,0.599074600061995,0.0166015625,23.8071293469719,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",500,"N =  500"
"54",10,0.002,50,"reml",0,200,"normal",2048,0.339208984375,0.264208984375,0.996610169491525,0.605875141559796,0.0185546875,23.7831918650202,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",500,"N =  500"
"55",10,0.002,50,"reml",0,200,"t.scaled",1024,0.2625,0.2125,0.998796630565584,0.589902828093852,0.0224609375,25.9296669574395,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",500,"N =  500"
"56",10,0.002,50,"reml",0,200,"unif2",1024,0.34609375,0.29609375,0.997762863534676,0.600213004723791,0.013671875,24.0152616020638,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",500,"N =  500"
"57",10,0.002,300,"pm",0,200,"expo",1568,0.165688775510204,0.0983418367346939,1,0.530682433665636,0.0376275510204082,29.4212544827411,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",3000,"N =  3000"
"58",10,0.002,300,"pm",0,200,"normal",2048,0.208837890625,0.133837890625,1,0.536725684782205,0.037109375,29.0728122938228,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",3000,"N =  3000"
"59",10,0.002,300,"pm",0,200,"t.scaled",1024,0.134765625,0.084765625,0.996941896024465,0.530941182753109,0.0380859375,34.7817857013031,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",3000,"N =  3000"
"60",10,0.002,300,"pm",0,200,"unif2",1024,0.22392578125,0.17392578125,0.99874843554443,0.525953830391514,0.0283203125,29.1050503682596,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",3000,"N =  3000"
"61",10,0.002,300,"reml",0,200,"expo",1568,0.165688775510204,0.0983418367346939,1,0.530338110796493,0.0389030612244898,29.2041010934911,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",3000,"N =  3000"
"62",10,0.002,300,"reml",0,200,"normal",2048,0.208837890625,0.133837890625,1,0.536485167531614,0.03662109375,28.9216094847885,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",3000,"N =  3000"
"63",10,0.002,300,"reml",0,200,"t.scaled",1024,0.134765625,0.084765625,0.996941896024465,0.53062399802678,0.0380859375,34.6044307110041,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",3000,"N =  3000"
"64",10,0.002,300,"reml",0,200,"unif2",1024,0.22392578125,0.17392578125,0.99874843554443,0.525721832820923,0.0283203125,28.9569073505287,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",3000,"N =  3000"
"65",10,0.01,50,"pm",0,200,"expo",1024,0.15869140625,0.10869140625,1,0.572466038975479,0.0263671875,28.6955423983991,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Exponential",500,"N =  500"
"66",10,0.01,50,"pm",0,200,"normal",1248,0.213701923076923,0.146394230769231,1,0.586229535012588,0.0224358974358974,28.4330513582011,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Normal",500,"N =  500"
"67",10,0.01,50,"pm",0,200,"t.scaled",1024,0.13251953125,0.08251953125,1,0.558249930104501,0.033203125,33.0962217860763,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","t",500,"N =  500"
"68",10,0.01,50,"pm",0,200,"unif2",1024,0.2236328125,0.1736328125,0.998699609882965,0.562989604593992,0.0302734375,27.2998038762739,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Uniform mixture",500,"N =  500"
"69",10,0.01,50,"reml",0,200,"expo",1024,0.15869140625,0.10869140625,1,0.567922908140656,0.02734375,27.5376329109281,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Exponential",500,"N =  500"
"70",10,0.01,50,"reml",0,200,"normal",1248,0.213701923076923,0.146394230769231,1,0.582526085531061,0.0264423076923077,27.4949941739853,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Normal",500,"N =  500"
"71",10,0.01,50,"reml",0,200,"t.scaled",1024,0.13251953125,0.08251953125,1,0.554193452434643,0.03515625,32.0839305903795,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","t",500,"N =  500"
"72",10,0.01,50,"reml",0,200,"unif2",1024,0.2236328125,0.1736328125,0.998699609882965,0.559063423659786,0.03125,26.2999993098267,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Uniform mixture",500,"N =  500"
"73",10,0.01,300,"pm",0,200,"expo",1552,0.0853737113402062,0.0183634020618557,1,0.512780641241327,0.0547680412371134,41.8319175940888,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Exponential",3000,"N =  3000"
"74",10,0.01,300,"pm",0,200,"normal",2048,0.100732421875,0.025732421875,0.999091734786558,0.503159303769698,0.05078125,41.8492333693535,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Normal",3000,"N =  3000"
"75",10,0.01,300,"pm",0,200,"t.scaled",1024,0.06083984375,0.01083984375,1,0.510707694074003,0.064453125,56.4534372556653,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","t",3000,"N =  3000"
"76",10,0.01,300,"pm",0,200,"unif2",1024,0.1166015625,0.0666015625,1,0.483848030034064,0.0458984375,40.9892279975806,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Uniform mixture",3000,"N =  3000"
"77",10,0.01,300,"reml",0,200,"expo",1552,0.0853737113402062,0.0183634020618557,1,0.512211495132684,0.0554123711340206,41.5718227149882,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Exponential",3000,"N =  3000"
"78",10,0.01,300,"reml",0,200,"normal",2048,0.100732421875,0.025732421875,0.999091734786558,0.50290931972442,0.05078125,41.7207269209209,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Normal",3000,"N =  3000"
"79",10,0.01,300,"reml",0,200,"t.scaled",1024,0.06083984375,0.01083984375,1,0.510357927970019,0.064453125,56.3190677587574,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","t",3000,"N =  3000"
"80",10,0.01,300,"reml",0,200,"unif2",1024,0.1166015625,0.0666015625,1,0.483612915920643,0.0458984375,40.8697799088449,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.01","Uniform mixture",3000,"N =  3000"
"81",10,0.25,50,"pm",0,200,"expo",1024,0.0521484375,0.0021484375,1,0.502487549006569,0.087890625,64.9764059664924,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",500,"N =  500"
"82",10,0.25,50,"pm",0,200,"normal",1904,0.0719537815126051,-0.00493697478991597,1,0.48180808253935,0.0919117647058824,67.9426617412608,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",500,"N =  500"
"83",10,0.25,50,"pm",0,200,"t.scaled",1024,0.04970703125,-0.000292968750000001,1,0.520104762473461,0.0986328125,80.6012381557638,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",500,"N =  500"
"84",10,0.25,50,"pm",0,200,"unif2",1024,0.0875,0.0375,1,0.401684987321079,0.0625,70.535018303473,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",500,"N =  500"
"85",10,0.25,50,"reml",0,200,"expo",1024,0.0521484375,0.0021484375,1,0.497414883551773,0.087890625,64.0981474455286,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",500,"N =  500"
