"k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","Reject.mn","EstMean.mn","EstVar.mn","I2.mn","N.tot","k.pretty","N.tot.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty"
5,0.002,50,"reml",0,30,"unif2",6144,0.02734375,0.497638940791094,0.0549332676356492,32.3465760124601,250,"No. replications: 5","N =  250","Norig =  30","delta =  0","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0,50,"expo",4640,0.0204741379310345,0.499381322566319,0.0554021283344087,32.2729267217864,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","Exponential"
5,0.002,50,"reml",0,50,"normal",4448,0.0263039568345324,0.496866258760436,0.0552002099423538,32.4102817191086,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","Normal"
5,0.002,50,"reml",0,50,"t.scaled",4096,0.021240234375,0.498599896796534,0.0602392583857818,34.0458549892464,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","t"
5,0.002,50,"reml",0,50,"unif2",4192,0.0186068702290076,0.497692715814893,0.0557398728947111,32.9232637519245,250,"No. replications: 5","N =  250","Norig =  50","delta =  0","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0,200,"expo",6144,0.00944010416666667,0.496454660892523,0.0545794157504711,32.1998131135544,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","Exponential"
5,0.002,50,"reml",0,200,"normal",6144,0.0107421875,0.49769719555577,0.0560129434352537,32.542392965992,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","Normal"
5,0.002,50,"reml",0,200,"t.scaled",6144,0.0146484375,0.498238586510771,0.0621132048359578,33.8958774006557,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","t"
5,0.002,50,"reml",0,200,"unif2",6144,0.013671875,0.502211605622826,0.055109094893991,32.3355643026544,250,"No. replications: 5","N =  250","Norig =  200","delta =  0","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0.2,30,"expo",5792,0.0426450276243094,0.495468846158042,0.0566273594462406,32.9152075459191,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.2","V =  0.002","Exponential"
5,0.002,50,"reml",0.2,30,"normal",6144,0.0423177083333333,0.500006282969311,0.0544971997105243,32.200889622701,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.2","V =  0.002","Normal"
5,0.002,50,"reml",0.2,30,"t.scaled",6144,0.0426432291666667,0.501590065242941,0.0585726398040822,33.6285809635544,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.2","V =  0.002","t"
5,0.002,50,"reml",0.2,30,"unif2",6144,0.0390625,0.501601952688741,0.0554951915473093,32.4194784260605,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.2","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0.2,50,"expo",4848,0.0513613861386139,0.498584247069522,0.0523440489111933,31.4128567876077,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.2","V =  0.002","Exponential"
5,0.002,50,"reml",0.2,50,"normal",4368,0.0480769230769231,0.498853012534659,0.0556285773580897,32.627499535544,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.2","V =  0.002","Normal"
5,0.002,50,"reml",0.2,50,"t.scaled",5456,0.0485703812316716,0.49932806956183,0.0593341274657731,33.429339801005,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.2","V =  0.002","t"
5,0.002,50,"reml",0.2,50,"unif2",4672,0.0466609589041096,0.495191083268428,0.05508670229009,32.4746452281799,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.2","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0.2,200,"expo",6144,0.0592447916666667,0.495463324169103,0.0554650251749388,32.6901643464373,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.2","V =  0.002","Exponential"
5,0.002,50,"reml",0.2,200,"normal",5984,0.057653743315508,0.497756126592568,0.0539275494209299,31.8871090489943,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.2","V =  0.002","Normal"
5,0.002,50,"reml",0.2,200,"t.scaled",5824,0.0563186813186813,0.497144596597508,0.0605160413923428,34.1789395789908,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.2","V =  0.002","t"
5,0.002,50,"reml",0.2,200,"unif2",5856,0.0565232240437158,0.496683302667847,0.0566790824513436,33.1216227533909,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.2","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0.5,30,"expo",6144,0.137369791666667,0.501164164234402,0.0561450733610686,32.8958401181574,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.5","V =  0.002","Exponential"
5,0.002,50,"reml",0.5,30,"normal",6144,0.150065104166667,0.492418115119962,0.05511058307666,32.3965842848372,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.5","V =  0.002","Normal"
5,0.002,50,"reml",0.5,30,"t.scaled",6144,0.133463541666667,0.502486115274638,0.0586596082774932,33.6115183608987,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.5","V =  0.002","t"
5,0.002,50,"reml",0.5,30,"unif2",6144,0.140950520833333,0.502023046770054,0.0560890790601406,33.0258125767449,250,"No. replications: 5","N =  250","Norig =  30","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0.5,50,"expo",6144,0.1865234375,0.498943355562774,0.0562173953374029,32.8166032782113,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","Exponential"
5,0.002,50,"reml",0.5,50,"normal",5648,0.192811614730878,0.498944125845887,0.0535748529667963,31.9731165652787,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","Normal"
5,0.002,50,"reml",0.5,50,"t.scaled",6144,0.194661458333333,0.49947111716824,0.0598463477223276,33.6851047916315,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","t"
5,0.002,50,"reml",0.5,50,"unif2",6144,0.189778645833333,0.492158342074994,0.0566374496378947,32.9402435855108,250,"No. replications: 5","N =  250","Norig =  50","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,50,"reml",0.5,200,"expo",5088,0.35750786163522,0.496454059071143,0.0564669999751408,32.8762426959455,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","Exponential"
5,0.002,50,"reml",0.5,200,"normal",5696,0.346910112359551,0.498022723715295,0.0560374745757709,32.643253816246,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","Normal"
5,0.002,50,"reml",0.5,200,"t.scaled",5824,0.351133241758242,0.494226559256252,0.0620563293982386,34.0855512220558,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","t"
5,0.002,50,"reml",0.5,200,"unif2",5712,0.352591036414566,0.498398846881829,0.054688324318417,32.2312100136556,250,"No. replications: 5","N =  250","Norig =  200","delta =  0.5","V =  0.002","Uniform mixture"
